age_1,age,year,people_num
'1003,17,2016,628457.5
'1004,18,2016,653811
'1005,19,2016,676231
'1201,20,2016,694059.5
'1202,21,2016,707930
'1203,22,2016,708689
'1204,23,2016,714033
'1205,24,2016,709972
'1301,25,2016,667482
'1302,26,2016,632002
'1303,27,2016,624859.5
'1304,28,2016,618048
'1305,29,2016,618877
'1501,30,2016,636374
'0401,0,2017,369710.5
'0402,1,2017,425705
'0403,2,2017,440967
'0404,3,2017,439957
'0405,4,2017,464792
'0501,5,2017,482297
'0502,6,2017,474368
'0503,7,2017,460371.5
'0504,8,2017,457979
'0505,9,2017,481854
'0701,10,2017,472316.5
'0702,11,2017,442523.5
'0703,12,2017,454655.5
'0704,13,2017,483215
'0705,14,2017,493509.5
'1001,15,2017,526372
'1002,16,2017,598288.5
'1003,17,2017,628103.5
'1004,18,2017,628040
'1005,19,2017,653303.5
'1201,20,2017,675631.5
'1202,21,2017,693647
'1203,22,2017,707546.5
'1204,23,2017,708307.5
'1205,24,2017,713826.5
'1301,25,2017,709758
'1302,26,2017,667453.5
'1303,27,2017,632076.5
'1304,28,2017,624845.5
'1305,29,2017,618139
'1501,30,2017,618977.5
'0401,0,2018,331722
'0402,1,2018,385664
'0403,2,2018,426981
'0404,3,2018,441487
'0405,4,2018,440314.5
'0501,5,2018,464973
'0502,6,2018,482491
'0503,7,2018,474414.5
'0504,8,2018,460424
'0505,9,2018,458025.5
'0701,10,2018,481847
'0702,11,2018,472301.5
'0703,12,2018,442482
'0704,13,2018,454542.5
'0705,14,2018,483014
'1001,15,2018,493268.5
'1002,16,2018,526025
'1003,17,2018,597753.5
'1004,18,2018,627485
'1005,19,2018,627494
'1201,20,2018,652767
'1202,21,2018,675141
'1203,22,2018,693229.5
'1204,23,2018,707165.5
'1205,24,2018,708107.5
'1301,25,2018,713607
'1302,26,2018,709770
'1303,27,2018,667526
'1304,28,2018,632138
'1305,29,2018,624923.5
'1501,30,2018,618248
'0401,0,2019,306395.5
'0402,1,2019,346237.5
'0403,2,2019,386969.5
'0404,3,2019,427661
'0405,4,2019,441919
'0501,5,2019,440543.5
'0502,6,2019,465153
'0503,7,2019,482541
'0504,8,2019,474492.5
'0505,9,2019,460448.5
'0701,10,2019,458034
'0702,11,2019,481829
'0703,12,2019,472274
'0704,13,2019,442398
'0705,14,2019,454393.5
'1001,15,2019,482778
'1002,16,2019,492928
'1003,17,2019,525496.5
'1004,18,2019,597072
'1005,19,2019,627020
'1201,20,2019,627061.5
'1202,21,2019,652265
'1203,22,2019,674713
'1204,23,2019,692849
'1205,24,2019,706912.5
'1301,25,2019,707870
'1302,26,2019,713595.5
'1303,27,2019,709696.5
'1304,28,2019,667537
'1305,29,2019,632178
'1501,30,2019,624960
'0401,0,2020,280097
'0402,1,2020,317767
'0403,2,2020,347171
'0404,3,2020,387521.5
'0405,4,2020,428081
'0501,5,2020,442190
'0502,6,2020,440736
'0503,7,2020,465263.5
'0504,8,2020,482644
'0505,9,2020,474555
'0701,10,2020,460514
'0702,11,2020,458038
'0703,12,2020,481860
'0704,13,2020,472246.5
'0705,14,2020,442325.5
'1001,15,2020,454244.5
'1002,16,2020,482531
'1003,17,2020,492529
'1004,18,2020,525005
'1005,19,2020,596703
'1201,20,2020,626665.5
'1202,21,2020,626657
'1203,22,2020,651921.5
'1204,23,2020,674412
'1205,24,2020,692609
'1301,25,2020,706635.5
'1302,26,2020,707795.5
'1303,27,2020,713499.5
'1304,28,2020,709648
'1305,29,2020,667601
'1501,30,2020,632261
