sex,age,age_month,L_weight,M_weight,S_weight
2,,42,-0.0428,15.2236,0.1064
2,,43,-0.1212,15.3956,0.1075
2,,44,-0.1938,15.5676,0.1085
2,,45,-0.2611,15.7399,0.1095
2,,46,-0.3236,15.9123,0.1105
2,,47,-0.3816,16.0848,0.1114
2,4,48,-0.4372,16.2585,0.1124
2,,49,-0.4888,16.4324,0.1133
2,,50,-0.5367,16.6064,0.1142
2,,51,-0.5812,16.7806,0.115
2,,52,-0.6227,16.9549,0.1159
2,,53,-0.6613,17.1294,0.1167
2,,54,-0.6987,17.3046,0.1175
2,,55,-0.7335,17.48,0.1183
2,,56,-0.766,17.6555,0.119
2,,57,-0.7962,17.8311,0.1198
2,,58,-0.8245,18.0069,0.1205
2,,59,-0.8509,18.1827,0.1212
2,5,60,-0.876,18.3616,0.122
2,,61,-0.8993,18.5405,0.1228
2,,62,-0.921,18.7196,0.1236
2,,63,-0.9412,18.8988,0.1243
2,,64,-0.96,19.078,0.125
2,,65,-0.9776,19.2574,0.1257
2,,66,-0.984,19.4555,0.127
2,,67,-0.9894,19.6537,0.1281
2,,68,-0.9941,19.8519,0.1293
2,,69,-0.9981,20.0502,0.1304
2,,70,-1.0014,20.2485,0.1315
2,,71,-1.0041,20.4468,0.1326
2,6,72,-0.9954,20.6619,0.134
2,,73,-0.9868,20.8769,0.1353
2,,74,-0.9784,21.092,0.1367
2,,75,-0.97,21.3071,0.138
2,,76,-0.9618,21.5221,0.1392
2,,77,-0.9537,21.7372,0.1405
2,,78,-0.9411,21.9702,0.1418
2,,79,-0.9288,22.2032,0.1432
2,,80,-0.9169,22.4363,0.1445
2,,81,-0.9054,22.6693,0.1458
2,,82,-0.8942,22.9023,0.1471
2,,83,-0.8833,23.1353,0.1484
2,7,84,-0.8685,23.387,0.1497
2,,85,-0.8541,23.6386,0.1511
2,,86,-0.8403,23.8903,0.1524
2,,87,-0.8271,24.1419,0.1536
2,,88,-0.8142,24.3935,0.1549
